iter	Passed	Remaining
154	299	1634
155	301	1628
156	302	1623
157	303	1617
158	304	1612
159	306	1606
160	307	1601
161	308	1596
162	309	1590
163	311	1585
164	312	1580
165	313	1574
166	314	1569
167	315	1564
168	317	1559
169	318	1555
170	319	1551
171	321	1545
172	322	1541
173	323	1536
174	324	1531
175	326	1526
176	327	1521
177	328	1517
178	329	1512
179	330	1507
180	332	1503
181	333	1498
182	334	1493
183	335	1489
184	337	1485
185	338	1480
186	339	1477
187	341	1472
188	342	1468
189	343	1464
190	344	1460
191	345	1456
192	347	1451
193	348	1447
194	349	1443
195	351	1440
196	352	1436
197	353	1432
198	355	1429
199	356	1425
200	357	1422
201	359	1418
202	360	1414
203	361	1410
204	362	1406
205	364	1403
206	365	1399
207	366	1395
208	367	1391
209	368	1387
210	370	1384
211	371	1380
212	372	1376
213	373	1373
214	375	1369
215	376	1365
216	377	1362
217	378	1358
218	380	1355
219	381	1352
220	382	1348
221	383	1345
222	385	1341
223	386	1338
224	387	1335
225	388	1332
226	390	1328
227	391	1325
228	392	1322
229	393	1319
230	395	1315
231	396	1312
232	397	1309
233	399	1306
234	400	1302
235	401	1299
236	402	1296
237	403	1293
238	405	1290
239	406	1287
240	407	1284
241	409	1281
242	410	1278
243	411	1275
244	412	1272
245	414	1269
246	415	1267
247	417	1264
248	418	1261
249	419	1259
250	420	1256
251	422	1253
252	423	1250
253	424	1247
254	425	1244
255	427	1241
256	428	1238
257	429	1235
258	431	1233
259	432	1230
260	433	1227
261	434	1224
262	436	1223
263	438	1222
264	439	1219
265	441	1217
266	442	1215
267	443	1212
268	445	1209
269	446	1206
270	447	1204
271	448	1201
272	450	1198
273	451	1196
274	452	1193
275	453	1190
276	455	1188
277	456	1185
278	457	1182
279	458	1179
280	460	1177
281	461	1174
282	462	1172
283	463	1169
284	465	1166
285	466	1164
286	467	1161
287	468	1159
288	470	1156
289	471	1153
290	472	1151
291	473	1148
292	475	1146
293	476	1144
294	477	1141
295	478	1139
296	480	1136
297	481	1133
298	482	1131
299	483	1128
300	485	1126
301	486	1123
302	487	1121
303	488	1118
304	489	1116
305	491	1113
306	492	1111
307	493	1108
308	494	1106
309	495	1103
310	497	1101
311	498	1098
312	499	1096
313	500	1094
314	501	1091
315	503	1089
316	504	1086
317	505	1084
318	506	1081
319	507	1079
320	509	1077
321	510	1074
322	511	1072
323	512	1069
324	514	1067
325	515	1065
326	516	1062
327	517	1060
328	519	1058
329	520	1056
330	521	1053
331	522	1051
332	523	1049
333	525	1047
334	526	1044
335	527	1042
336	528	1040
337	529	1037
338	531	1035
339	532	1033
340	533	1031
341	534	1029
342	536	1026
343	537	1024
344	538	1022
345	539	1020
346	540	1017
347	542	1015
348	543	1013
349	544	1011
350	545	1009
351	547	1006
352	548	1004
353	549	1002
354	550	1000
355	551	998
356	553	996
357	554	994
358	555	992
359	556	990
360	558	988
361	559	985
362	560	983
363	561	981
364	563	979
365	564	977
366	566	976
367	567	974
368	568	972
369	570	972
370	573	972
371	576	972
372	578	972
373	580	972
374	583	971
375	585	970
376	586	969
377	588	968
378	590	966
379	591	965
380	593	964
381	596	964
382	598	964
383	600	962
384	602	962
385	604	960
386	605	959
387	607	958
388	608	956
389	610	954
390	611	952
391	612	950
392	614	948
393	615	946
394	617	945
395	618	943
396	620	941
397	621	940
398	623	938
399	624	936
400	625	934
401	627	933
402	629	932
403	630	930
404	632	928
405	633	926
406	634	924
407	635	922
408	637	920
409	638	919
410	640	917
411	641	915
412	643	914
413	644	912
414	645	910
415	647	908
416	648	907
417	650	905
418	651	903
419	653	901
420	654	899
421	655	898
422	657	896
423	658	894
424	660	893
425	661	891
426	662	889
427	664	887
428	665	885
429	666	883
430	668	882
431	669	880
432	670	878
433	671	876
434	673	874
435	674	872
436	675	870
437	677	868
438	678	866
439	679	865
440	680	863
441	682	861
442	683	859
443	684	857
444	686	855
445	687	853
446	688	851
447	689	850
448	691	848
449	692	846
450	693	844
451	694	842
452	696	840
453	697	838
454	698	836
455	700	835
456	701	833
457	703	832
458	704	830
459	706	829
460	707	827
461	709	825
462	710	823
463	711	821
464	712	820
465	714	818
466	715	816
467	716	814
468	718	813
469	719	811
470	720	809
471	721	807
472	723	805
473	724	803
474	725	802
475	726	800
476	728	798
477	729	796
478	730	794
479	731	792
480	733	791
481	734	789
482	735	787
483	736	785
484	738	783
485	739	782
486	740	780
487	742	778
488	743	776
489	744	774
490	745	773
491	746	771
492	748	769
493	749	767
494	750	766
495	752	764
496	753	762
497	754	760
498	755	758
499	757	757
500	758	755
501	759	753
502	760	751
503	762	749
504	763	748
505	764	746
506	765	744
507	767	742
508	768	741
509	769	739
510	770	737
511	772	735
512	774	735
513	776	733
514	778	733
515	780	732
516	782	731
517	784	729
518	785	728
519	786	726
520	788	724
521	789	722
522	790	721
523	792	719
524	793	717
525	794	716
526	795	714
527	797	712
528	798	711
529	800	709
530	801	707
531	802	706
532	803	704
533	805	702
534	806	701
535	808	699
536	809	697
537	810	696
538	811	694
539	813	692
540	814	691
541	815	689
542	817	687
543	818	685
544	819	684
545	820	682
546	822	680
547	823	679
548	824	677
549	826	675
550	827	674
551	828	672
552	829	670
553	831	669
554	832	667
555	833	665
556	835	664
557	836	662
558	837	660
559	838	659
560	840	657
561	841	655
562	842	654
563	844	652
564	845	650
565	846	649
566	847	647
567	849	645
568	850	644
569	851	642
570	852	640
571	854	639
572	855	637
573	856	635
574	858	634
575	859	632
576	860	630
577	862	629
578	863	627
579	864	626
580	866	624
581	867	623
582	868	621
583	869	619
584	871	617
585	872	616
586	873	614
587	874	612
588	875	611
589	877	609
590	878	607
591	879	606
592	881	604
593	882	603
594	883	601
595	884	599
596	886	598
597	887	596
598	888	594
599	889	593
600	891	591
601	892	589
602	893	588
603	894	586
604	896	585
605	897	583
606	898	581
607	899	580
608	900	578
609	902	576
610	903	575
611	904	573
612	905	571
613	907	570
614	908	568
615	909	566
616	910	565
617	911	563
618	913	562
619	914	560
620	915	558
621	916	557
622	918	555
623	919	554
624	920	552
625	921	550
626	923	549
627	924	547
628	925	545
629	926	544
630	928	542
631	929	541
632	930	539
633	931	537
634	933	536
635	934	534
636	935	533
637	936	531
638	938	530
639	939	528
640	940	526
641	941	525
642	943	523
643	944	522
644	945	520
645	946	518
646	948	517
647	949	515
648	950	514
649	951	512
650	953	511
651	954	509
652	955	507
653	957	506
654	958	504
655	959	503
656	960	501
657	961	499
658	963	498
659	964	496
660	965	495
661	966	493
662	968	492
663	969	490
664	970	488
665	971	487
666	972	485
667	974	484
668	975	482
669	976	480
670	977	479
671	978	477
672	980	476
673	981	474
674	982	473
675	983	471
676	985	469
677	986	468
678	987	466
679	988	465
680	990	463
681	991	462
682	992	460
683	993	459
684	994	457
685	996	455
686	997	454
687	998	452
688	999	451
689	1000	449
690	1002	448
691	1003	446
692	1004	444
693	1005	443
694	1006	441
695	1008	440
696	1009	438
697	1010	437
698	1011	435
699	1013	434
700	1014	432
701	1015	431
702	1016	429
703	1018	428
704	1019	426
705	1021	425
706	1023	424
707	1025	422
708	1027	421
709	1028	420
710	1030	418
711	1031	417
712	1033	416
713	1035	414
714	1036	413
715	1038	411
716	1039	410
717	1041	408
718	1042	407
719	1043	405
720	1044	404
721	1045	402
722	1047	401
723	1048	399
724	1050	398
725	1051	396
726	1052	395
727	1054	393
728	1055	392
729	1056	390
730	1057	389
731	1059	387
732	1060	386
733	1061	384
734	1062	383
735	1064	381
736	1065	380
737	1066	378
738	1067	377
739	1069	375
740	1070	374
741	1071	372
742	1073	371
743	1074	369
744	1076	368
745	1077	366
746	1079	365
747	1080	364
748	1082	362
749	1083	361
750	1085	359
751	1086	358
752	1088	357
753	1089	355
754	1091	354
755	1093	352
756	1095	351
757	1096	350
758	1097	348
759	1099	347
760	1100	345
761	1101	344
762	1103	342
763	1104	341
764	1105	339
765	1107	338
766	1108	336
767	1109	335
768	1110	333
769	1111	332
770	1112	330
771	1114	329
772	1115	327
773	1116	326
774	1117	324
775	1119	323
776	1120	321
777	1121	319
778	1122	318
779	1123	317
780	1125	315
781	1126	314
782	1127	312
783	1128	311
784	1130	309
785	1131	308
786	1132	306
787	1133	305
788	1135	303
789	1136	302
790	1137	300
791	1139	299
792	1140	297
793	1141	296
794	1142	294
795	1144	293
796	1145	291
797	1146	290
798	1147	288
799	1148	287
800	1150	285
801	1151	284
802	1152	282
803	1153	281
804	1154	279
805	1156	278
806	1157	276
807	1158	275
808	1160	273
809	1161	272
810	1162	270
811	1163	269
812	1164	267
813	1166	266
814	1167	265
815	1168	263
816	1169	262
817	1171	260
818	1172	259
819	1173	257
820	1174	256
821	1175	254
822	1177	253
823	1178	251
824	1179	250
825	1180	248
826	1182	247
827	1183	245
828	1184	244
829	1185	242
830	1187	241
831	1188	239
832	1189	238
833	1190	237
834	1192	235
835	1193	234
836	1194	232
837	1195	231
838	1196	229
839	1198	228
840	1199	226
841	1200	225
842	1201	223
843	1203	222
844	1204	220
845	1205	219
846	1206	217
847	1207	216
848	1209	215
849	1210	213
850	1211	212
851	1212	210
852	1213	209
853	1215	207
854	1216	206
855	1217	204
856	1218	203
857	1220	201
858	1221	200
859	1222	199
860	1223	197
861	1224	196
862	1226	194
863	1227	193
864	1228	191
865	1229	190
866	1231	188
867	1232	187
868	1233	185
869	1234	184
870	1235	183
871	1237	181
872	1238	180
873	1239	178
874	1240	177
875	1242	175
876	1243	174
877	1244	172
878	1245	171
879	1247	170
880	1248	168
881	1249	167
882	1250	165
883	1251	164
884	1253	162
885	1254	161
886	1255	159
887	1257	158
888	1258	157
889	1259	155
890	1260	154
891	1261	152
892	1263	151
893	1264	149
894	1265	148
895	1266	147
896	1268	145
897	1269	144
898	1270	142
899	1271	141
900	1272	139
901	1274	138
902	1275	136
903	1276	135
904	1277	134
905	1278	132
906	1280	131
907	1281	129
908	1282	128
909	1283	126
910	1285	125
911	1286	124
912	1287	122
913	1288	121
914	1290	119
915	1291	118
916	1292	116
917	1293	115
918	1294	114
919	1296	112
920	1297	111
921	1298	109
922	1299	108
923	1301	107
924	1302	105
925	1303	104
926	1304	102
927	1305	101
928	1307	99
929	1308	98
930	1309	97
931	1310	95
932	1312	94
933	1313	92
934	1314	91
935	1315	89
936	1317	88
937	1318	87
938	1319	85
939	1321	84
940	1322	82
941	1323	81
942	1324	80
943	1326	78
944	1327	77
945	1328	75
946	1329	74
947	1330	73
948	1332	71
949	1333	70
950	1334	68
951	1335	67
952	1336	65
953	1338	64
954	1339	63
955	1340	61
956	1342	60
957	1343	58
958	1344	57
959	1345	56
960	1347	54
961	1348	53
962	1349	51
963	1350	50
964	1352	49
965	1353	47
966	1354	46
967	1355	44
968	1356	43
969	1357	41
970	1359	40
971	1360	39
972	1361	37
973	1362	36
974	1363	34
975	1365	33
976	1366	32
977	1367	30
978	1368	29
979	1370	27
980	1371	26
981	1372	25
982	1373	23
983	1374	22
984	1376	20
985	1377	19
986	1378	18
987	1379	16
988	1380	15
989	1382	13
990	1383	12
991	1384	11
992	1385	9
993	1387	8
994	1388	6
995	1389	5
996	1390	4
997	1391	2
998	1393	1
999	1394	0
