iter	R2	RMSE
252	0.8261792989	38505.35705
253	0.8263094725	38490.93609
254	0.8265427441	38465.08016
255	0.8266905764	38448.68536
256	0.8269147892	38423.80652
257	0.8273941108	38370.56648
258	0.8276374764	38343.50665
259	0.8279337143	38310.54217
260	0.8280791005	38294.35363
261	0.8284755624	38250.17339
262	0.8287767615	38216.57473
263	0.8292303842	38165.91747
264	0.8294180574	38144.93982
265	0.8296183524	38122.53861
266	0.8297585897	38106.84648
267	0.8298831184	38092.90667
268	0.8299744069	38082.68455
269	0.8301859557	38058.98561
270	0.8304184339	38032.92499
271	0.8308310453	37986.62758
272	0.8310060687	37966.97188
273	0.8312550287	37938.99531
274	0.831447922	37917.30498
275	0.831682068	37890.9592
276	0.8320998497	37843.90543
277	0.8322828937	37823.27118
278	0.8325543041	37792.65479
279	0.8329657914	37746.18968
280	0.8330774322	37733.57334
281	0.8332322666	37716.06879
282	0.8333492543	37702.83754
283	0.8335846992	37676.19477
284	0.833863848	37644.58205
285	0.8339721384	37632.31136
286	0.8341638807	37610.57467
287	0.8342585563	37599.83723
288	0.8345225928	37569.87584
289	0.8346971712	37550.05253
290	0.8350250947	37512.78863
291	0.8352145077	37491.24762
292	0.8354336609	37466.30896
293	0.8358092617	37423.5286
294	0.8360470337	37396.42144
295	0.8362852645	37369.24224
296	0.8364809481	37346.90236
297	0.836812866	37308.97895
298	0.8369756676	37290.36389
299	0.8371688861	37268.25884
300	0.8374203425	37239.47144
301	0.837634836	37214.89808
302	0.8378229062	37193.33853
303	0.8378888458	37185.77653
304	0.8380804092	37163.7992
305	0.8382509828	37144.21901
306	0.8385842699	37105.93107
307	0.8387245584	37089.80295
308	0.8388842397	37071.4368
309	0.8390400814	37053.50351
310	0.8391510818	37040.72498
311	0.8394407606	37007.35594
312	0.8397688534	36969.52549
313	0.8398999937	36954.39364
314	0.8401363804	36927.10209
315	0.8403071232	36907.37678
316	0.8404703183	36888.51356
317	0.840530802	36881.51998
318	0.8407053654	36861.32823
319	0.8410388491	36822.72337
320	0.8413950338	36781.44584
321	0.8414605919	36773.84341
322	0.841637048	36753.37286
323	0.8417881298	36735.83691
324	0.8421046657	36699.06965
325	0.8424205184	36662.34499
326	0.8426266345	36638.35973
327	0.8427938399	36618.89086
328	0.8429873143	36596.35041
329	0.8431613949	36576.05751
330	0.843306582	36559.12418
331	0.8433921149	36549.14471
332	0.8435191634	36534.31641
333	0.8438002319	36501.49048
334	0.844112931	36464.93568
335	0.8442953309	36443.59604
336	0.8444838631	36421.52582
337	0.8446219629	36405.3509
338	0.8449008268	36372.66708
339	0.8451246403	36346.41409
340	0.8452729497	36329.00717
341	0.8454727393	36305.54488
342	0.8457465567	36273.36448
343	0.8460693875	36235.38707
344	0.8462357103	36215.80552
345	0.8463658903	36200.47176
346	0.8466412107	36168.02063
347	0.8467965742	36149.69558
348	0.8470218554	36123.10727
349	0.8472294187	36098.59274
350	0.8476503831	36048.82299
351	0.8478111428	36029.79856
352	0.8479846979	36009.24864
353	0.8481751834	35986.68055
354	0.8483005369	35971.82136
355	0.8486497057	35930.39909
356	0.8487864664	35914.162
357	0.8489574704	35893.84898
358	0.8491243306	35874.01712
359	0.8492809536	35855.392
360	0.8495089239	35828.26518
361	0.8498105254	35792.34519
362	0.8499431929	35776.53339
363	0.8501597364	35750.70993
364	0.8503638568	35726.35087
365	0.8504830276	35712.12173
366	0.8506388395	35693.50905
367	0.8509160102	35660.3753
368	0.8510523045	35644.07102
369	0.8513408692	35609.52665
370	0.8516858576	35568.18372
371	0.8519545102	35535.95544
372	0.8521073682	35517.60514
373	0.8525435348	35465.19202
374	0.852919963	35419.89516
375	0.8530960845	35398.68197
376	0.8532483053	35380.33728
377	0.8535737873	35341.08031
378	0.8537610348	35318.47627
379	0.8540662591	35281.59934
380	0.8543127374	35251.7919
381	0.8545223975	35226.41716
382	0.8547939721	35193.52181
383	0.8550161594	35166.58579
384	0.8550319032	35164.67637
385	0.8551430533	35151.19303
386	0.855341078	35127.15834
387	0.8555091138	35106.75055
388	0.8557256248	35080.438
389	0.8559374255	35054.67878
390	0.8561463051	35029.25628
391	0.8563333622	35006.4741
392	0.8565843416	34975.88333
393	0.8567798318	34952.03735
394	0.8568861715	34939.05916
395	0.8570810001	34915.26884
396	0.8572047528	34900.14911
397	0.8574921188	34865.01429
398	0.8576058966	34851.09347
399	0.8577590468	34832.3466
400	0.8578351365	34823.02882
401	0.8580254827	34799.70853
402	0.8581537426	34783.98594
403	0.8583702776	34757.42611
404	0.8585384682	34736.7821
405	0.858655784	34722.37529
406	0.8586788982	34719.53608
407	0.8588577437	34697.55988
408	0.8590377222	34675.43041
409	0.8593371603	34638.58132
410	0.8594729832	34621.85392
411	0.8596582355	34599.02595
412	0.8598500526	34575.37313
413	0.8598594491	34574.21405
414	0.8600297397	34553.20137
415	0.860242209	34526.96622
416	0.8605503533	34488.88192
417	0.8607007717	34470.27605
418	0.860928377	34442.10351
419	0.8610249359	34430.14468
420	0.8612998635	34396.07207
421	0.8613427693	34390.75159
422	0.8616777445	34349.18501
423	0.8618428701	34328.67629
424	0.8620905086	34297.89643
425	0.8622094309	34283.10534
426	0.8623574212	34264.68995
427	0.8625106695	34245.60986
428	0.8627504662	34215.73274
429	0.8629273256	34193.68049
430	0.8631500298	34165.89169
431	0.8633958774	34135.1888
432	0.8635383505	34117.38328
433	0.863698689	34097.33391
434	0.8638352528	34080.24814
435	0.8639724134	34063.07906
436	0.8641886607	34035.99273
437	0.8644082681	34008.46343
438	0.864633622	33980.19059
439	0.8648000139	33959.3
440	0.8649376999	33942.00373
441	0.865073286	33924.96263
442	0.8653080981	33895.43009
443	0.8654952034	33871.87923
444	0.8657233529	33843.13998
445	0.8659565073	33813.74505
446	0.8660264199	33804.92584
447	0.866290086	33771.64464
448	0.866438293	33752.92284
449	0.8666880876	33721.34476
450	0.8668340549	33702.87844
451	0.8669938524	33682.65085
452	0.8672230049	33653.6229
453	0.8675216247	33615.75755
454	0.8676743656	33596.37332
455	0.8678233683	33577.45273
456	0.8678836933	33569.78953
457	0.8680058991	33554.26013
458	0.8680773654	33545.17517
459	0.8683660595	33508.45063
460	0.8684999509	33491.40474
461	0.8685943206	33479.3852
462	0.8687282656	33462.31766
463	0.8688478828	33447.06845
464	0.8690681403	33418.97107
465	0.8690899573	33416.18667
466	0.8692200842	33399.5744
467	0.8694554971	33369.50009
468	0.8696735002	33341.62571
469	0.8698361278	33320.81659
470	0.869916874	33310.47982
471	0.8700802374	33289.55696
472	0.8702102556	33272.8954
473	0.870419726	33246.03464
474	0.8706586991	33215.36417
475	0.8708661717	33188.71359
476	0.871144487	33152.92936
477	0.8712333359	33141.49753
478	0.8713797336	33122.65252
479	0.8715108413	33105.7666
480	0.8717059762	33080.61839
481	0.8719929091	33043.60486
482	0.8721782674	33019.6721
483	0.8723092352	33002.75157
484	0.8725124243	32976.48315
485	0.8726104784	32963.79916
486	0.8727390311	32947.16257
487	0.872836809	32934.50306
488	0.8729329904	32922.04551
489	0.8730572113	32905.94924
490	0.8732485301	32881.14319
491	0.8734461424	32855.50146
492	0.8734910762	32849.66816
493	0.8737559451	32815.26183
494	0.8739216686	32793.71608
495	0.8741353194	32765.91839
496	0.8742721718	32748.10038
497	0.8744126723	32729.79732
498	0.8746271878	32701.83251
499	0.8747242799	32689.16747
500	0.8748992356	32666.33321
501	0.8751590897	32632.38901
502	0.8752274037	32623.45942
503	0.8753810076	32603.37235
504	0.8755407267	32582.47243
505	0.8757209701	32558.87073
506	0.875800866	32548.4034
507	0.8758996366	32535.4586
508	0.8759994791	32522.36809
509	0.8760994952	32509.24953
510	0.8761653964	32500.60274
511	0.8762695939	32486.92646
512	0.8764692198	32460.70877
513	0.8766231786	32440.47426
514	0.8767356363	32425.68618
515	0.876923251	32401.00001
516	0.8770400351	32385.62415
517	0.877152478	32370.81296
518	0.8773012141	32351.21075
519	0.8774322756	32333.92805
520	0.8775667273	32316.1887
521	0.8778308996	32281.30582
522	0.8779207451	32269.43348
523	0.8780937003	32246.56661
524	0.8782031146	32232.09225
525	0.8784882725	32194.33833
526	0.8785586661	32185.01164
527	0.8787459468	32160.18501
528	0.8789426065	32134.09443
529	0.8790146764	32124.5277
530	0.8792265265	32096.38971
531	0.8792535073	32092.80435
532	0.8794281213	32069.59092
533	0.8795534139	32052.92399
534	0.8796459712	32040.60608
535	0.8797394315	32028.16317
536	0.8797530163	32026.35414
537	0.8797810446	32022.62142
538	0.8798670092	32011.17022
539	0.8798777506	32009.73909
540	0.8800207252	31990.68374
541	0.880115489	31978.04757
542	0.8802598893	31958.78306
543	0.8802729112	31957.04523
544	0.8804461816	31933.91257
545	0.8805477077	31920.35041
546	0.8807226809	31896.96346
547	0.8807740514	31890.094
548	0.8809899734	31861.20393
549	0.8811647755	31837.79644
550	0.881262732	31824.6717
551	0.8813990929	31806.39231
552	0.881401772	31806.03307
553	0.8814066134	31805.38388
554	0.8815728208	31783.08861
555	0.8816504248	31772.67335
556	0.8818183533	31750.12392
557	0.8819917529	31726.823
558	0.8821224952	31709.24293
559	0.8822111349	31697.31857
560	0.8822946609	31686.07804
561	0.8824117791	31670.31011
562	0.8825514613	31651.49406
563	0.882643957	31639.02816
564	0.8827894514	31619.40952
565	0.8829487132	31597.92052
566	0.8830366987	31586.04248
567	0.8832072643	31563.00337
568	0.8833362853	31545.56472
569	0.8833673267	31541.36769
570	0.8835301231	31519.34721
571	0.8836292675	31505.92901
572	0.8836971535	31496.73803
573	0.8837993504	31482.89668
574	0.8839224772	31466.21254
